student_id,age,gender,degree,branch,college_tier,skills_count,internships,projects,coding_level,cgpa,placement_status,job_role,package_lpa
S001,21,M,B.Tech,Data Science,Tier-1,4,0,2,Advanced,6.78,Not Placed,,0.0
S002,24,F,BCA,IT,Tier-1,3,0,4,Basic,8.22,Not Placed,,0.0
S003,24,M,B.Sc,CSE,Tier-3,4,3,6,Intermediate,6.07,Not Placed,,0.0
S004,24,M,BCA,Data Science,Tier-3,10,1,2,Intermediate,7.73,Placed,HR Analyst,11.2
S005,20,M,B.Tech,Commerce,Tier-2,6,2,4,Basic,8.07,Placed,Design Engineer,10.6
S006,24,M,B.Sc,Data Science,Tier-3,2,0,4,Intermediate,8.52,Not Placed,,0.0
S007,20,F,BCA,EEE,Tier-2,5,0,5,Advanced,6.85,Not Placed,,0.0
S008,21,M,M.Sc,Commerce,Tier-2,4,3,4,Advanced,7.86,Not Placed,,0.0
S009,24,F,BCA,Finance,Tier-3,4,0,3,Basic,6.56,Not Placed,,0.0
S010,20,F,BCA,IT,Tier-2,8,3,3,Basic,6.34,Not Placed,,0.0
S011,20,M,B.Tech,IT,Tier-3,2,1,5,Intermediate,8.43,Not Placed,,0.0
S012,20,F,MBA,EEE,Tier-2,6,1,4,Intermediate,9.06,Placed,Web Developer,7.0
S013,23,F,M.Sc,IT,Tier-2,9,2,4,Intermediate,6.41,Not Placed,,0.0
S014,21,M,BCA,IT,Tier-2,7,0,4,Intermediate,6.22,Not Placed,,0.0
S015,21,M,M.Sc,Finance,Tier-3,6,1,6,Basic,8.59,Placed,Business Analyst,19.5
S016,21,F,M.Sc,ME,Tier-3,6,2,6,Intermediate,6.59,Not Placed,,0.0
S017,23,M,BCA,Commerce,Tier-1,6,3,2,Basic,8.9,Placed,Web Developer,11.1
S018,22,M,B.Tech,CSE,Tier-2,6,0,4,Intermediate,7.68,Placed,AI Engineer,20.6
S019,23,F,BCA,Finance,Tier-1,4,0,2,Basic,9.46,Not Placed,,0.0
S020,23,M,B.Tech,IT,Tier-2,2,3,5,Basic,8.74,Not Placed,,0.0
S021,23,F,B.Tech,IT,Tier-3,10,0,4,Basic,7.98,Placed,Data Analyst,14.9
S022,21,F,B.Sc,IT,Tier-2,5,1,3,Basic,8.15,Placed,ML Engineer,18.3
S023,20,M,MBA,Commerce,Tier-1,4,0,5,Basic,8.14,Not Placed,,0.0
S024,24,M,BCA,Commerce,Tier-2,2,2,4,Intermediate,8.64,Not Placed,,0.0
S025,24,F,BCA,CSE,Tier-2,7,2,6,Basic,7.41,Placed,Web Developer,15.2
S026,22,F,B.Sc,EEE,Tier-2,3,1,2,Intermediate,9.22,Not Placed,,0.0
S027,23,F,BCA,CSE,Tier-1,5,0,2,Basic,7.93,Placed,Software Engineer,8.8
S028,23,M,B.Sc,Data Science,Tier-2,10,2,6,Basic,8.53,Placed,Business Analyst,8.3
S029,21,M,BCA,Civil,Tier-2,10,0,5,Intermediate,8.61,Placed,Design Engineer,20.1
S030,20,M,B.Tech,Finance,Tier-3,7,3,1,Intermediate,8.93,Placed,Data Analyst,3.9
S031,23,M,B.Tech,Finance,Tier-3,7,0,6,Basic,9.41,Placed,HR Analyst,11.3
S032,23,M,M.Sc,CSE,Tier-2,9,3,4,Advanced,8.6,Placed,HR Analyst,21.2
S033,24,F,B.Sc,Commerce,Tier-3,4,0,4,Basic,6.86,Not Placed,,0.0
S034,24,M,B.Tech,Civil,Tier-3,3,0,5,Basic,6.69,Not Placed,,0.0
